Transaction_ID;Date;Client_ID;Montant;Devise;Niveau_Risque;Est_PEP;Alertes;Niveau_Alerte;Score_Risque;Details_Alertes
TXN-10014;2024-01-24;CLT-016;9030.39;EUR;Élevé;Non;"CLIENT_RISQUE_ELEVE;PAYS_SANCTIONNE;";Critique;125;
TXN-10031;2024-01-23;CLT-002;31929.7;CHF;Élevé;Oui;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;CLIENT_PEP;";Critique;105;
TXN-10047;2024-01-23;CLT-002;22239.56;EUR;Élevé;Oui;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;CLIENT_PEP;";Critique;105;
TXN-10032;2024-01-27;CLT-009;9153.47;EUR;Faible;Non;"PAYS_SANCTIONNE;";Critique;100;
TXN-10001;2024-01-16;CLT-016;39225.12;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10003;2024-01-11;CLT-021;29225.25;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10005;2024-01-20;CLT-021;40374.29;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10006;2024-01-21;CLT-008;25319.91;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10009;2024-01-13;CLT-016;20644.49;USD;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10011;2024-01-24;CLT-021;21876.05;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10023;2024-01-01;CLT-005;12003.39;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10025;2024-01-12;CLT-021;33109.91;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10026;2024-01-31;CLT-005;30834.03;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10035;2024-01-21;CLT-008;40214.89;GBP;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10038;2024-01-16;CLT-021;16732.09;GBP;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
